"SORTCODE","BANKNAME","BRANCHNAME"
"180129","PRUDENTIAL BANK LTD","PRUDENTIAL BANK LTD-CANTONMENTS BRANCH"
"180199","PRUDENTIAL BANK LTD","PRUDENTIAL BANK LTD-GOLDEN LINK SAVINGS AND LOANS COMPANY"
"180201","PRUDENTIAL BANK LTD","PRUDENTIAL BANK LTD-KOFORIDUA BRANCH"
"180301","PRUDENTIAL BANK LTD","PRUDENTIAL BANK LTD-CAPECOAST BRANCH"
"180302","PRUDENTIAL BANK LTD","PRUDENTIAL BANK LTD-UNIV. OF CAPE COAST BRANCH"
"180401","PRUDENTIAL BANK LTD","PRUDENTIAL BANK LTD-TAKORADI HARBOUR BRANCH"
"180402","PRUDENTIAL BANK LTD","PRUDENTIAL BANK LTD-TAKORADI MARKET CIRCLE BRANCH"
"180601","PRUDENTIAL BANK LTD","PRUDENTIAL BANK LTD-KUMASI BRANCH"
"180602","PRUDENTIAL BANK LTD","PRUDENTIAL BANK LTD-ADUM-KUMASI BRANCH"
"180603","PRUDENTIAL BANK LTD","PRUDENTIAL BANK LTD-AFFUL NKWANTA BRANCH"
"180604","PRUDENTIAL BANK LTD","PRUDENTIAL BANK LTD-ABOABO BRANCH"
"180605","PRUDENTIAL BANK LTD","PRUDENTIAL BANK LTD-ATONSU BRANCH"
"180606","PRUDENTIAL BANK LTD","PRUDENTIAL BANK LTD-SUAME MAAKRO BRANCH"
"180607","PRUDENTIAL BANK LTD","PRUDENTIAL BANK LTD -SANTASI ROUNDABOUT BRANCH"
"180701","PRUDENTIAL BANK LTD","PRUDENTIAL BANK LTD - TECHIMAN BRANCH"
"180801","PRUDENTIAL BANK LTD","PRUDENTIAL BANK LTD-TAMALE BRANCH"
"190101","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-ACCRA MAIN BRANCH"
"190102","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-AIRPORT CITY BRANCH"
"190103","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-SPINTEX ROAD BRANCH"
"190104","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-ACCRA MALL BRANCH"
"190105","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-NORTH INDUSTIAL AREA BRANCH"
"190106","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-TEMA INDUSTRIAL AREA BRANCH"
"190107","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-GRAPHIC ROAD BRANCH"
"190108","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-MAKOLA BRANCH"
"190109","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-RIND ROAD BRANCH"
"190110","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-ACHIMOTA BRANCH"
"190112","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-KASOA BRANCH"
"190113","STANBIC BANK GHANA LTD","STANBIC BANK GH LTD - TEMA FISHING HABOUR BRANCH"
"190114","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-MOVENPICK BRANCH"
"190115","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-MADINA BRANCH"
"190116","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-DANSOMAN BRANCH"
"190117","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-ASHAIMAN BRANCH"
"190118","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-TEMA COMMUNITY ONE BRANCH"
"190119","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-EAST LEGON BRANCH"
"190120","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-LAPAZ BRANCH"
"190121","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-STANBIC HEIGHTS BRANCH"
"190122","STANBIC BANK GHANA LTD","STANBIC BANK GHANA - INTEGRATED PROCESSING CENTER"
"190123","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD - CASH CENTRE"
"190124","STANBIC BANK GHANA LTD","STANBIC BANK - WEST HILLS MALL BRANCH"
"190125","STANBIC BANK GHANA LTD","STANBIC BANK - JUNCTION MALL BRANCH"
"190127","STANBIC BANK GHANA LTD","STANBIC BANK - TUDU BRANCH"
"190128","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD - ACHIMOTA MALL BRANCH"
"190130","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD - LEGON BRANCH"
"190132","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD- SERVICES INTERGRITY SAVINGS AND LOANS LIMITED"
"190133","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD - AGJIRINGANOR BRANCH"
"190401","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-TAKORADI BRANCH"
"190402","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-TARKWA BRANCH"
"190601","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-HARPER-KUMASI BRANCH"
"190602","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-SUAME BRANCH"
"190603","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-ADUM BRANCH"
"190604","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-ASHTOWN BRANCH"
"190605","STANBIC BANK GHANA LTD","MULTI CREDIT SAVINGS AND LOANS - KUMASI"
"190606","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-KNUST BRANCH"
"190607","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD - ASOKWA BRANCH"
"190701","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-SUNYANI BRANCH"
"190801","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-TAMALE BRANCH"
"190901","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-BOLGATANGA BRANCH"
"191001","STANBIC BANK GHANA LTD","STANBIC BANK GHANA LTD-WA BRANCH"
"200101","FIRST BANK NIGERIA","FBN BANK LTD -MAKOLA BRANCH"
"200102","FIRST BANK NIGERIA","FBN BANK LTD -KASOA BRANCH"
"200103","FIRST BANK NIGERIA","FBN BANK LTD -TEMA BRANCH"
"200104","FIRST BANK NIGERIA","FBN BANK LTD -KANESHIE BRANCH"
"200105","FIRST BANK NIGERIA","FBN BANK LTD -RING ROAD CENTRAL BRANCH"
"200106","FIRST BANK NIGERIA","FBN BANK LTD -DANSOMAN BRANCH"
"200107","FIRST BANK NIGERIA","FBN BANK LTD -SPINTEX ROAD BRANCH"
"200108","FIRST BANK NIGERIA","FBN BANK LTD -SWEDRU BRANCH"
"200109","FIRST BANK NIGERIA","FBN BANK LTD -ACHIMOTA BRANCH"
"200110","FIRST BANK NIGERIA","FBN BANK LTD -SWANMILL BRANCH"
"200111","FIRST BANK NIGERIA","FBN BANK LTD -KORLE-BU BRANCH"
"200112","FIRST BANK NIGERIA","FBN BANK LTD -DOME BRANCH"
"200113","FIRST BANK NIGERIA","FBN BANK LTD -SANTA MARIA BRANCH"
"200114","FIRST BANK NIGERIA","FBN BANK LTD - SPINTEX 2 BRANCH"
"200115","FIRST BANK NIGERIA","FBN BANK LTD - AIRPORT BRANCH"
"200401","FIRST BANK NIGERIA","FBN BANK LTD -TAKORADI BRANCH"
"200601","FIRST BANK NIGERIA","FBN BANK LTD -ADUM BRANCH"
"200602","FIRST BANK NIGERIA","FBN BANK LTD -SUAME BRANCH"
"200701","FIRST BANK NIGERIA","FBN BANK LTD -TECHIMAN BRANCH"
"210101","BANK OF AFRICA","BANK OF AFRICA-FARRAR AVE BRANCH"
"210102","BANK OF AFRICA","BANK OF AFRICA-RIDGE BRANCH"
"210103","BANK OF AFRICA","BANK OF AFRICA-MAAMOBI BRANCH"
"210104","BANK OF AFRICA","BANK OF AFRICA-ACCRA CENTRAL BRANCH"
"210105","BANK OF AFRICA","BANK OF AFRICA-NEWTOWN BRANCH"
"210106","BANK OF AFRICA","BANK OF AFRICA-MICHEL CAMP BRANCH"
"210111","BANK OF AFRICA","BANK OF AFRICA-EAST LEGON BRANCH"
"210112","BANK OF AFRICA","BANK OF AFRICA-KWASHIEMAN BRANCH"
"210113","BANK OF AFRICA","BANK OF AFRICA-OSU BRANCH"
"210114","BANK OF AFRICA","BANK OF AFRICA-SPINTEX ROAD BRANCH"
"210116","BANK OF AFRICA","BANK OF AFRICA-TEMA BRANCH"
"210117","BANK OF AFRICA","BANK OF AFRICA- DANSOMAN BRANCH"
"210118","BANK OF AFRICA","BANK OF AFRICA-MADINA BRANCH"
"210119","BANK OF AFRICA","BANK OF AFRICA-ABOSSEY OKAI BRANCH"
"210122","BANK OF AFRICA","BANK OF AFRICA-WHOLESALE CENTER"
"210123","BANK OF AFRICA","BANK OF AFRICA-TESHIE NUNGUA BRANCH"
"210124","BANK OF AFRICA","BANK OF AFRICA-OPERA SQUARE BRANCH"
"210125","BANK OF AFRICA","BANK OF AFRICA-AIRPORT CITY BRANCH"
"210126","BANK OF AFRICA","BANK OF AFRICA-OCTAGON BRANCH"
"210401","BANK OF AFRICA","BANK OF AFRICA -TAKORADI BRANCH"
"210601","BANK OF AFRICA","BANK OF AFRICA -KUMASI AMAKOM BRANCH"
"210602","BANK OF AFRICA","BANK OF AFRICA-KUMASI -ADUM BRANCH"
"210603","BANK OF AFRICA","BANK OF AFRICA-SOKOBAN BRANCH"
"210604","BANK OF AFRICA","BANK OF AFRICA- SUAME BRANCH"
"210699","BANK OF AFRICA","BANK OF AFRICA-MULTICREDIT SAVINGS AND LOANS CO."
"210801","BANK OF AFRICA","BANK OF AFRICA-TAMALE BRANCH"
"210901","BANK OF AFRICA","BANK OF AFRICA-BOLGATANGA BRANCH"
"211001","BANK OF AFRICA","BANK OF AFRICA-WA BRANCH BRANCH"
"230101","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD-HEAD OFFICE BRANCH"
"230102","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD-AIRPORT BRANCH"
"230103","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD-TEMA BRANCH"
"230104","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD-OSU BRANCH"
"230105","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD-SPINTEX ROAD BRANCH"
"230106","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD-LABONE BRANCH"
"230107","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD-GRAPHIC ROAD BRANCH"
"230108","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD-ASHIAMAN BRANCH"
"230109","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD-TUDU BRANCH"
"230110","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD-MADINA BRANCH"
"230111","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD-ACHIMOTA BRANCH"
"230112","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD-NIA BRANCH"
"230113","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD-COMMUNITY 6 BRANCH"
"230114","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD-OPERA SQUARE BRANCH"
"230115","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD-LAPAZ BRANCH"
"230116","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD - EAST LEGON BRANCH"
"230117","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD - DOME BRANCH"
"230118","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD - MAKOLA BRANCH"
"230119","GUARANTY TRUST (GH) LTD","GUARANTY TRUST BANK - RING ROAD BRANCH"
"230120","GUARANTY TRUST (GH) LTD","GUARNTY TRUST BANK - BAATSONA BRANCH"
"230122","GUARANTY TRUST (GH) LTD","GUARNTY TRUST BANK - TEMA MAIN HARBOUR BRANCH"
"230123","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD - ONE AIRPORT SQUARE BRANCH"
"230124","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD - DANSOMAN BRANCH"
"230184","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD-ASURANCE SAVINGS AND LOANS LTD"
"230301","GUARANTY TRUST (GH) LTD","GUARANTY TRUST BANK - CAPE - COAST BRANCH"
"230302","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD - KASOA BRANCH"
"230401","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD-TAKORADI BRANCH"
"230402","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD-TARKWA BRANCH"
"230501","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD-AFLAO BRANCH"
"230601","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD-KUMASI-LAKE  ROAD BRANCH"
"230602","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD-ADUM BRANCH"
"230603","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD- - ALABAR BRANCH"
"230652","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD-ST PETER'S CO-OPERATIVE CREDIT UNION"
"230653","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD-NOBLE DREAM MICROFINANCE LTD"
"230680","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD-ADEHYEMAN SAVINGS & LOANS LTD"
"230701","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD-TECHIMAN BRANCH"
"230801","GUARANTY TRUST (GH) LTD","GUARANTY TRUST (GH) LTD-TAMALE BRANCH"
"240100","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD"
"240100","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-HEAD OFFICE BRANCH"
"240101","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-RIDGE TOWERS"
"240102","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-SPINTEX ROAD"
"240103","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-HIGH STREET"
"240104","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-OSU"
"240105","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-ABOSSEY OKAI BRANCH"
"240106","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-TEMA SAFE BOND BRANCH"
"240107","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-KANTAMANTO BRANCH"
"240108","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-TUDU BRANCH"
"240109","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-TEMA-COMMUNITY ONE"
"240110","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-OKAISHIE BRANCH"
"240111","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-ACTION CHAPEL BRANCH"
"240112","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD- A AND C MALL BRANCH"
"240113","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-DANSOMAN BRANCH"
"240114","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-RING ROAD BRANCH"
"240115","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-HAATSO BRANCH"
"240116","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-TEMA COMMUNITY 2 BRANCH"
"240117","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-ACCRA CENTRAL POSTBANK BRANCH"
"240118","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-ADENTA BRANCH"
"240119","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-IPS BRANCH"
"240120","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-TRADE FAIR LA BRANCH"
"240121","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-TESANO BRANCH"
"240122","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-DZORWULU BRANCH"
"240123","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-MAMPROBI POSTBANK BRANCH"
"240124","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-KWAME NKRUMAH AVENUE BRANCH"
"240125","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD -  ACHIMOTA BRANCH"
"240126","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD - GWB LAPAZ BRANCH"
"240127","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-NUNGUA BRANCH"
"240128","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-ASHAIMAN BRANCH"
"240129","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-AIRPORT ACCRA BRANCH"
"240130","FIDELITY BANK GHANA","FIDELITY BANK - MAAMOBI BRANCH"
"240131","FIDELITY BANK GHANA","FIDELITY BANK - KOKOMLEMLE BRANCH"
"240132","FIDELITY BANK GHANA","FIDELITY BANK - KANESHIE MAIN BRANCH"
"240133","FIDELITY BANK GHANA","FIDELITY BANK - TEMA COMM. 1 MAIN BRANCH"
"240134","FIDELITY BANK GHANA","FIDELITY BANK - MADINA MARKET BRANCH"
"240135","FIDELITY BANK GHANA","FIDELITY BANK - TUDU MAIN BRANCH"
"240136","FIDELITY BANK GHANA","FIDELITY BANK - DANSOMAN MAIN BRANCH"
"240138","FIDELITY BANK GHANA","FIDELITY BANK  - ABEKA BRANCH"
"240142","FIDELITY BANK GHANA","FIDELITY BANK - ASHAIMAN MARKET BRANCH"
"240143","FIDELITY BANK GHANA","FIDELITY BANK - AIRPORT PC BRANCH"
"240144","FIDELITY BANK GHANA","FIDELITY BANK  - KASOA BRANCH"
"240145","FIDELITY BANK GHANA","FIDELITY BANK - DOME BRANCH"
"240146","FIDELITY BANK GHANA","FIDELITY BANK - KANESHIE MARKET BRANCH"
"240147","FIDELITY BANK GHANA","FIDELITY BANK - MADINA BRANCH"
"240148","FIDELITY BANK GHANA","FIDELITY BANK - OSU DANQUAH CIRCLE BRANCH"
"240149","FIDELITY BANK GHANA","FIDELITY BANK - NUNGUA BRIGADE BRANCH"
"240150","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD - TEMA COMMUNITY 25 BRANCH"
"240151","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD - WEIJA BRANCH"
"240152","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD- EAST LEGON BRANCH"
"240191","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-HOHOE BRANCH BRANCH"
"240201","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD - NKWAKAW BRANCH"
"240203","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD - KOFORIDUA BRANCH"
"240301","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-ASSIN FOSU BRANCH"
"240302","FIDELITY BANK GHANA","FIDELITY BANK - CAPE COAST BRANCH"
"240303","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD - CAPECOAST MAIN BRANCH"
"240401","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-TAKORADI MARKET CIRCLE"
"240402","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-TARKWA BRANCH"
"240403","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-TAKORADI POSTBANK BRANCH"
"240405","FIDELITY BANK GHANA","FIDELITY BANK - TARKWA MAIN BRANCH"
"240406","FIDELITY BANK GHANA","FIDELITY BANK - TAKORADI EFFIEKUMA BRANCH"
"240407","FIDELITY BANK GHANA","FIDELITY BANK - TAKORADI MAIN BRANCH"
"240501","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-HO BRANCH"
"240601","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-STADIUM POST"
"240602","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-KUMASI-ADUM"
"240603","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-KUMASI-SUAME"
"240604","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD - ATONSU BRANCH"
"240605","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-AHODWO BRANCH"
"240606","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-KUMASI ADUM POSTBANK"
"240607","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD - KO METHODIST BRANCH"
"240608","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-SANTASI ROUNDABOUT BRANCH"
"240609","FIDELITY BANK GHANA","FIDELITY BANK - ADUM SAGOE LANE BRANCH"
"240610","FIDELITY BANK GHANA","FIDELITY BANK - SUAME MAIN BRANCH"
"240611","FIDELITY BANK GHANA","FIDELITY BANK - ADUM PZ BRANCH"
"240612","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD - SUAME MAAKRO BRANCH"
"240613","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD - KNUST BRANCH"
"240701","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-SUNYANI POSTBANK BRANCH"
"240702","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-BEREKUM BRANCH"
"240703","FIDELITY BANK GHANA","FIDELITY BANK - TECHIMAN BRANCH"
"240704","FIDELITY BANK GHANA","FIDELITY BANK - SUNYANI BRANCH"
"240801","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-TAMALE"
"240901","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD-BOLGATANGA POSTBANK BRANCH"
"241090","FIDELITY BANK GHANA","FIDELITY BANK GHANA LTD - WA BRANCH"
"270101","BSIC BANK GHANA LTD","BSIC GHANA LTD-ADABRAKA BRANCH"
"270102","BSIC BANK GHANA","BSIC GHANA LTD-ACCRA CENTRAL BRANCH"
"270103","BSIC BANK GHANA","BSIC GHANA LTD-SPINTEX BRANCH"
"270104","BSIC BANK GHANA","BSIC GHANA LTD-NIMA BRANCH"
"270105","BSIC BANK GHANA","BISC GHANA LTD-NORTH INDUSTRIAL AREA BRANCH"
"270106","BSIC BANK GHANA","BSIC GHANA LTD-MADINA BRANCH"
"270602","BSIC BANK GHANA","BSIC GHANA LTD-KUMASI (ALABAR) BRANCH"
"270801","BSIC BANK GHANA","BSIC GHANA LTD-TAMALE BRANCH"
"280100","ACCESSBANK GHANA LTD","ACCESS BANK"
"280100","ACCESSBANK GHANA LTD","ACCESS BANK - HEAD OFFICE BRANCH"
"280101","ACCESSBANK GHANA LTD","ACCESS BANK - EAST CANTONMENTS BRANCH"
"280102","ACCESSBANK GHANA LTD","ACCESS BANK - TEMA MAIN BRANCH"
"280103","ACCESSBANK GHANA LTD","ACCESS BANK - OSU  OXFORD BRANCH"
"280104","ACCESSBANK GHANA LTD","ACCESS BANK - LASHIBI BRANCH"
"280105","ACCESSBANK GHANA LTD","ACCESS BANK - OSU WATSON BRANCH"
"280106","ACCESSBANK GHANA LTD","ACCESS BANK - KANTAMANTO BRANCH"
"280107","ACCESSBANK GHANA LTD","ACCESS BANK - KANESHIE BRANCH"
"280108","ACCESSBANK GHANA LTD","ACCESS BANK - CASTLE ROAD BRANCH"
"280109","ACCESSBANK GHANA LTD","ACCESS BANK -MADINA BRANCH"
"280110","ACCESSBANK GHANA LTD","ACCESS BANK - SOUTH INDUSTRIAL BRANCH"
"280111","ACCESSBANK GHANA LTD","ACCESS BANK - NIA BRANCH"
"280112","ACCESSBANK GHANA LTD","ACCESS BANK - RING ROAD CENTRAL BRANCH"
"280113","ACCESSBANK GHANA LTD","ACCESS BANK - KANESHIE POST OFFICE BRANCH"
"280114","ACCESSBANK GHANA LTD","ACCESS BANK - ABEKA LAPAZ BRANCH"
"280115","ACCESSBANK GHANA LTD","ACCESS BANK - OKAISHIE BRANCH"
"280116","ACCESSBANK GHANA LTD","ACCESS BANK - ASHAIMAN BRANCH"
"280117","ACCESSBANK GHANA LTD","ACCESS BANK - IPS BRANCH"
"280118","ACCESSBANK GHANA LTD","ACCESS BANK - ACHIMOTA BRANCH"
"280119","ACCESSBANK GHANA LTD","ACCESS BANK - TEMA COMMUNITY 1 BRANCH"
"280120","ACCESSBANK GHANA LTD","ACCESS BANK - NIMA BRANCH"
"280121","ACCESSBANK GHANA LTD","ACCESS BANK - TIA BRANCH"
"280122","ACCESSBANK GHANA LTD","ACCESS BANK - AIRPORT BRANCH"
"280123","ACCESSBANK GHANA LTD","ACCESS BANK - KASOA BRANCH"
"280124","ACCESSBANK GHANA LTD","ACCESS BANK - SPINTEX BRANCH"
"280125","ACCESSBANK GHANA LTD","ACCESS BANK - NEWTOWN BRANCH"
"280126","ACCESSBANK GHANA LTD","ACCESS BANK - HAATSO BRANCH"
"280127","ACCESSBANK GHANA LTD","ACCESS BANK - AIRPORT BRANCH"
"280128","ACCESSBANK GHANA LTD","ACCESS BANK - LEGON BRANCH"
"280129","ACCESSBANK GHANA LTD","ACCESS - ADJIRIGANOR BRANCH"
"280130","ACCESSBANK GHANA LTD","ACCESS BANK - OCTAGON ACCRA"
"280201","ACCESSBANK GHANA LTD","ACCESS BANK - KOFORIDUA BRANCH"
"280401","ACCESSBANK GHANA LTD","ACCESS BANK - TARKWA BRANCH"
"280402","ACCESSBANK GHANA LTD","ACCESS BANK - TAKORADI BRANCH"
"280403","ACCESSBANK GHANA LTD","ACCESS BANK - SEFWI BRANCH"
"280404","ACCESSBANK GHANA LTD","ACCESS BANK - ENCHI BRANCH"
"280405","ACCESSBANK GHANA LTD","ACCESS BANK - MARKET CIRCLE TAKORADI BRANCH"
"280501","ACCESSBANK GHANA LTD","ACCESS BANK - HO BRANCH"
"280601","ACCESSBANK GHANA LTD","ACCESS BANK - KUMASI ASAFO BRANCH"
"280602","ACCESSBANK GHANA LTD","ACCESS BANK - ADUM BRANCH"
"280603","ACCESSBANK GHANA LTD","ACCESS BANK - SUAME BRANCH"
"280604","ACCESSBANK GHANA LTD","ACCESS BANK - AMAKOM BRANCH"
"280605","ACCESSBANK GHANA LTD","ACCESS BANK -  ALABAR BRANCH"
"280606","ACCESSBANK GHANA LTD","ACCESS BANK  - KNUST BRANCH"
"280607","ACCESSBANK GHANA LTD","ACCESS BANK - KEJETIA BRANCH"
"280701","ACCESSBANK GHANA LTD","ACCESS BANK - TECHIMAN BRANCH"
"280801","ACCESSBANK GHANA LTD","ACCESS BANK - TAMALE BRANCH"
"280901","ACCESSBANK GHANA LTD","ACCESS BANK - BOLGATANGA BRANCH"
"281001","ACCESSBANK GHANA LTD","ACCESS BANK -  WA  BRANCH"
"330100","FIRST NATIONAL BANK","FIRST NATIONAL BANK"
"330101","FIRST NATIONAL BANK","FIRST NATIONAL BANK - JUNCTION SHOPPING CENTRE BRANCH"
"330102","FIRST NATIONAL BANK","FIRST NATIONAL BANK - ACCRA BRANCH"
"330106","FIRST NATIONAL BANK","FIRST NATIONAL BANK - ACCRA MALL BRANCH"
"330107","FIRST NATIONAL BANK","FIRST NATIONAL BANK - ACHIMOTA MALL BRANCH"
"330108","FIRST NATIONAL BANK","FIRST NATIONAL BANK - WEST HILLS MALL BRANCH"
"330111","FIRST NATIONAL BANK","FIRST NATIONAL BANK - MAKOLA BRANCH"
"330112","FIRST NATIONAL BANK","FIRST NATIONAL BANK  - TEMA BRANCH"
"340100","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA - HEAD OFFICE BRANCH"
"340101","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -AIRPORT CITY BRANCH"
"340102","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -RIDGE BRANCH"
"340103","CONSOLIDATED BANK GHANA","CONSOLIDATED BANK GHANA -TUDU BRANCH"
